Order	Coral_Species	Phylotype
467	Acropora hyacinthus	C101a
468	Acropora hyacinthus	C21
469	Acropora hyacinthus	C21.12
470	Acropora hyacinthus	C21.12
471	Acropora hyacinthus	C21.20
472	Acropora hyacinthus	C3
473	Acropora hyacinthus	C3
474	Acropora hyacinthus	C3
475	Acropora hyacinthus	C3
476	Acropora hyacinthus	C3
477	Acropora hyacinthus	C3
478	Acropora hyacinthus	C3
479	Acropora hyacinthus	C3
480	Acropora hyacinthus	C3
481	Acropora hyacinthus	C3
482	Acropora hyacinthus	C3
483	Acropora hyacinthus	C3
484	Acropora hyacinthus	C3
485	Acropora hyacinthus	C3
486	Acropora hyacinthus	C3
487	Acropora hyacinthus	C3
488	Acropora hyacinthus	C3.18
489	Acropora hyacinthus	C3.18
490	Acropora hyacinthus	C3.23
491	Acropora hyacinthus	C3.23
492	Acropora hyacinthus	C3.24
493	Acropora hyacinthus	C3.24
494	Acropora hyacinthus	C3k
495	Acropora hyacinthus	C3u
496	Acropora hyacinthus	C3u
497	Acropora hyacinthus	C3u
498	Acropora hyacinthus	C3u
499	Acropora hyacinthus	C94a
500	Acropora hyacinthus	D1-4
501	Acropora hyacinthus	D1-4
502	Acropora hyacinthus	D1-4
503	Acropora hyacinthus	D1-4
504	Acropora hyacinthus	D1-4
505	Acropora hyacinthus	D1-4
506	Acropora hyacinthus	D1-4
507	Acropora hyacinthus	D1-4
508	Acropora hyacinthus	D1-4
509	Acropora hyacinthus	D1-4
510	Acropora hyacinthus	D1-4
511	Acropora hyacinthus	D1-4
512	Acropora hyacinthus	D1-4
513	Acropora hyacinthus	D1-4
514	Acropora hyacinthus	D1-4
515	Acropora hyacinthus	DOli11
516	Acropora hyacinthus	DOli11
517	Acropora hyacinthus	DOli11
518	Acropora hyacinthus	DOli11
519	Acropora hyacinthus	DOli11
520	Acropora hyacinthus	DOli11
521	Acropora hyacinthus	DOli11
522	Acropora hyacinthus	DOli11
523	Acropora hyacinthus	DOli11
524	Acropora latistella	C115
525	Acropora latistella	C115
526	Acropora latistella	C1g
527	Acropora latistella	C1g
528	Acropora latistella	C21
529	Acropora latistella	C3
530	Acropora latistella	C3
531	Acropora latistella	C3
